Macro,Regiao,Cidade,Produtor-Instituicao,Cultivar,Situacao,Primeiro_Esporo,Estadio Fenologico,LongitudeDecimal,LatitudeDecimal,Dias_apos_O0
,,Boa esperança,,NEOGEN 610 IPRO,Encerrado sem esporos,,, -52.7889089,-24.2417381,-1
,,Bela Vista da Caroba,,57i59 Rsf Ipro,Encerrado sem esporos,,, -53.666574,-25.8809081,-1
,,Bela Vista da Caroba,,95r90 Ipro,Encerrado sem esporos,,, -53.666574,-25.8809081,-1
,,Planalto,,57i59rsf Ipro,Encerrado sem esporos,,, -53.7699127,-25.7185508,-1
,,Pérola DOeste,,57i59rsf Ipro,Encerrado sem esporos,,, -53.7387106,-25.8206072,-1
,,Formosa do Oeste,,64i61 Rsf Ipro,Encerrado sem esporos,,, -53.3126912,-24.2964121,-1
,,Pérola DOeste,,57i59rsf Ipro,Encerrado sem esporos,,, -53.7387106,-25.8206072,-1
,,Nova Prata do Iguaçu,,58i60 Rsf Ipro,Encerrado sem esporos,,, -53.3457524,-25.6325941,-1
,,Prado Ferreira,,Credenz Result I2x,Encerrado sem esporos,,, -51.4415326,-23.0401209,-1
,,Quarto Centenário,,M6410 Ipro,Encerrado sem esporos,,, -53.0765133,-24.2783285,-1
,,Jaguapitã,,NK 6356 IPRO,Encerrado sem esporos,,, -51.5319836,-23.1107374,-1
,,Palotina,,M6110 I2x,Encerrado sem esporos,,, -53.8394444,-24.2848574,-1
,,Janiópolis,,64i61 Rsf Ipro,Encerrado sem esporos,,, -52.7831026,-24.1421765,-1
,,Prado Ferreira,,Tec 6702 Ipro,Encerrado sem esporos,,, -51.4415326,-23.0401209,-1
,,Faxinal,,Fps 1867 Ipro,Encerrado sem esporos,,, -51.3215462,-24.0011549,-1
,,Tupãssi,,59I60 RSF IPRO,Encerrado sem esporos,,, -53.5154839,-24.5850748,-1
,,Bela Vista da Caroba,,55i57 Rsf Ipro,Encerrado sem esporos,,, -53.666574,-25.8809081,-1
,,Bela Vista da Caroba,,95r90 Ipro,Encerrado sem esporos,,, -53.666574,-25.8809081,-1
,,São Jorge DOeste,,55i57 Rsf Ipro,Encerrado sem esporos,,, -52.9191218,-25.7091971,-1
,,Boa Vista da Aparecida,,58i60 Rsf Ipro,Encerrado sem esporos,,, -53.4092558,-25.4361388,-1
,,Andirá,,BMX Potência RR,Encerrado sem esporos,,, -50.2298291,-23.0499872,-1
,,Iracema do Oeste,,Ns 6220 Ipro,Encerrado sem esporos,,, -53.3590596,-24.4312979,-1
,,Iracema do Oeste,,Bmy 6301 I2x,Encerrado sem esporos,,, -53.5296907,-24.4151131,-1
,,Realeza,,58i60 Rsf Ipro,Encerrado sem esporos,,, -53.530887,-25.7685855,-1
,,Realeza,,58i60 Rsf Ipro,Encerrado sem esporos,,, -53.530887,-25.7685855,-1
,,Campina da Lagoa,,58ho110 Mm Ipro,Encerrado sem esporos,,, -52.8040931,-24.5932694,-1
,,Alvorada do Sul,,Bmx Potência Rr,Com esporos,05/12/22,R5.5, -51.232948,-22.7811159,
,,Ipiranga,,Cz15b92 Ipro,Com esporos,13/01/23,R5.4, -50.585262,-25.024456,
,,Pato Branco,,Brs 1003 Ipro,Com esporos,22/12/22,R3, -52.671425,-26.228001,
,,Santo Antonio do Paraíso,,Neo 610 Ipro,Com esporos,06/02/23,R5.2, -50.6452959,-23.4942776,
,,Renascença,,50I52 RSF IPRO,Com esporos,21/12/22,R7, -52.9730836,-26.1575421,
,,Mandaguaçu,,Tmg2165 Ipro,Com esporos,23/02/23,R6, -51.6791443,-23.5221313,
,,Ibiporã,,St 644 Ipro,Com esporos,09/11/22,V5, -51.0564989,-23.2739051,
,,Marmeleiro,,55i57 Rsf Ipro,Com esporos,21/12/22,V3, -53.0238975,-26.1481159,
,,Vera Cruz do Oeste,,59I60 RSF IPRO,Com esporos,27/12/22,R4, -53.8795226,-25.0589582,
,,Assis Chateaubriand,,M5705 Ipro,Com esporos,19/01/23,R7, -53.5296907,-24.4151131,
,,Rio Bonito do Iguaçu,,50i52 Rsf Ipro,Com esporos,09/01/23,R8, -52.5288055,-25.489263,
